ConsumoProm_kWh,DemandaMax_kW,FactorCarga,HorasPico_Mes,TemperaturaMedia_C,UsoHVAC_%,UsoProceso_%,EmisionesCO2_tn,TipoCliente
407.07,76.62,0.62,179.7,27.85,33.3,58.4,1.99,Industrial
522.8,31.9,0.2,103.7,11.85,26.4,57.1,1.4,Residencial
218.56,87.21,0.75,37.0,21.42,83.4,62.4,2.66,Residencial
327.12,110.55,0.75,147.5,20.34,66.6,49.1,0.69,Industrial
405.9,82.14,0.75,155.0,25.32,75.3,68.6,1.55,Residencial
720.58,68.04,0.44,122.7,30.24,86.2,35.8,3.37,Comercial
615.12,122.58,0.44,85.3,36.93,55.0,50.7,1.5,Industrial
390.97,120.8,0.78,149.9,11.24,22.3,55.6,5.73,Industrial
526.9,64.69,0.83,117.4,20.87,30.0,13.3,0.87,Comercial
448.71,57.69,0.58,108.8,27.44,36.6,59.2,3.09,Industrial
274.19,109.05,0.77,132.4,20.99,53.4,70.8,1.46,Industrial
304.07,65.25,0.72,39.5,24.46,44.3,71.6,4.64,Residencial
272.47,71.1,0.36,27.2,16.76,14.6,13.8,4.26,Comercial
407.57,65.03,0.89,119.1,32.59,40.9,45.6,2.67,Comercial
442.15,111.49,0.92,112.3,22.68,26.0,52.1,1.06,Residencial
169.49,86.45,0.24,154.6,29.62,60.9,22.2,0.28,Comercial
568.89,81.25,0.47,25.7,26.34,21.8,16.8,5.52,Industrial
425.2,67.75,0.37,37.7,20.12,81.1,47.7,4.19,Industrial
397.07,105.9,0.24,112.4,12.49,42.8,63.4,6.98,Industrial
374.05,102.8,0.81,47.8,34.24,31.4,47.2,0.29,Industrial
642.46,104.82,0.92,166.2,33.75,74.4,68.3,4.49,Comercial
393.57,61.48,0.77,114.6,29.35,88.4,44.3,6.89,Comercial
394.56,54.67,0.89,145.1,29.86,14.7,40.9,2.23,Industrial
520.51,90.95,0.37,165.9,26.28,58.1,19.0,6.43,Industrial
419.9,97.46,0.88,118.3,21.48,36.2,60.5,6.33,Industrial
529.5,97.35,0.38,144.7,33.41,54.4,57.1,3.32,Industrial
432.18,119.16,0.9,190.9,32.39,65.1,21.2,6.11,Industrial
429.28,80.31,0.4,151.0,20.62,47.6,74.5,1.85,Industrial
588.08,112.73,0.89,170.6,35.91,23.5,11.5,2.03,Comercial
411.37,48.31,0.64,167.7,33.22,55.3,56.6,1.32,Residencial
293.87,58.83,0.31,94.7,23.83,31.8,58.7,1.06,Industrial
243.71,92.61,0.74,87.6,34.09,30.9,64.8,6.13,Industrial
427.93,91.25,0.74,81.6,32.64,18.5,22.4,6.47,Comercial
284.73,100.75,0.8,190.1,21.29,49.6,79.3,1.52,Comercial
524.8,123.25,0.4,156.6,39.79,45.6,15.0,5.05,Comercial
458.95,85.97,0.79,41.8,33.95,17.7,78.0,6.6,Comercial
376.49,86.22,0.9,127.4,39.57,50.4,18.3,1.78,Industrial
328.45,78.74,0.95,128.3,16.66,68.2,49.3,3.81,Industrial
409.79,80.9,0.63,122.0,20.62,65.4,75.5,2.79,Comercial
502.87,109.94,0.42,82.9,16.38,44.4,19.5,6.65,Residencial
540.06,81.56,0.39,168.9,27.9,28.9,56.9,5.85,Industrial
252.82,93.68,0.49,73.3,22.36,17.1,27.0,1.43,Comercial
686.22,81.85,0.8,114.0,36.06,46.9,77.9,4.15,Comercial
329.67,88.69,0.4,53.5,17.38,19.4,26.6,1.29,Comercial
254.49,104.05,0.75,198.2,21.53,53.5,6.8,4.93,Comercial
637.31,94.42,0.68,131.4,30.69,30.4,18.0,1.28,Industrial
590.29,123.79,0.4,149.2,16.87,84.8,77.6,6.7,Comercial
551.09,87.25,0.2,123.6,16.15,42.3,20.0,3.98,Residencial
325.42,104.07,0.47,29.3,38.85,11.6,60.1,2.13,Comercial
569.7,53.98,0.89,38.3,12.03,70.0,37.4,1.94,Comercial
404.64,92.09,0.47,46.1,21.66,19.7,41.2,5.01,Residencial
224.95,94.32,0.91,161.2,32.28,71.5,24.6,6.31,Comercial
325.99,71.18,0.21,83.0,36.42,45.4,12.7,3.33,Industrial
243.31,112.06,0.85,116.6,15.58,19.1,25.7,5.94,Comercial
546.3,92.76,0.25,150.6,39.88,76.9,46.2,6.1,Comercial
584.31,72.97,0.93,98.6,14.51,34.6,71.5,6.47,Comercial
274.5,104.07,0.68,133.9,28.33,20.2,51.1,1.05,Industrial
398.1,122.39,0.45,126.3,13.68,68.3,37.7,4.42,Comercial
475.24,63.99,0.22,120.6,30.05,79.9,27.4,1.05,Comercial
256.72,101.66,0.44,119.7,31.65,34.5,76.9,6.22,Industrial
551.19,103.94,0.74,86.9,30.32,64.5,65.5,1.69,Residencial
279.35,60.86,0.54,147.7,29.27,33.9,66.0,2.34,Industrial
225.29,85.38,0.43,139.2,14.3,49.3,34.8,5.05,Residencial
301.52,66.02,0.68,25.3,33.79,40.2,30.4,6.62,Residencial
367.91,108.94,0.91,139.4,31.83,14.6,47.0,0.46,Industrial
299.67,115.24,0.79,177.7,25.41,15.2,49.1,6.01,Residencial
588.84,94.2,0.62,30.9,13.19,72.1,47.8,4.79,Comercial
420.26,121.03,0.91,57.9,39.03,62.0,21.8,3.36,Comercial
220.12,68.41,0.25,149.6,19.13,43.3,66.8,2.75,Industrial
468.06,110.4,0.59,63.8,26.5,54.4,68.1,3.02,Industrial
219.2,45.96,0.74,186.2,16.86,22.9,47.8,1.32,Industrial
634.31,86.02,0.59,50.2,12.69,16.1,33.5,2.93,Industrial
251.71,93.52,0.89,193.1,23.85,84.3,33.5,0.64,Comercial
357.63,106.14,0.34,76.4,18.36,39.3,47.9,5.38,Comercial
446.81,77.44,0.4,77.0,33.13,74.9,31.7,3.7,Industrial
311.03,85.2,0.47,170.8,31.98,64.7,32.3,1.77,Comercial
282.05,99.65,0.88,78.8,39.05,49.6,63.2,2.35,Industrial
455.38,58.07,0.5,154.3,16.57,46.3,26.6,0.94,Industrial
201.44,107.11,0.84,170.0,10.79,44.5,31.1,3.34,Industrial
565.64,95.62,0.84,157.2,28.28,88.3,33.3,3.39,Industrial
239.04,116.4,0.24,32.1,36.53,47.1,35.2,0.56,Comercial
244.25,85.13,0.29,75.8,29.9,21.9,44.9,5.79,Industrial
399.73,102.36,0.25,127.8,17.99,24.9,17.5,4.66,Residencial
110.37,106.35,0.27,126.9,18.21,38.1,8.2,5.71,Comercial
417.5,91.67,0.21,48.5,30.33,82.2,59.7,2.08,Residencial
317.85,71.91,0.76,191.0,13.61,67.8,57.5,1.22,Residencial
466.65,79.02,0.5,137.2,37.16,86.6,9.6,1.32,Comercial
404.82,152.76,0.91,174.7,26.86,80.0,75.5,0.52,Comercial
545.88,79.19,0.26,187.3,33.47,86.6,7.8,0.4,Comercial
294.0,100.7,0.75,23.8,17.29,54.1,49.8,1.34,Comercial
531.43,111.84,0.68,112.3,38.04,22.7,69.0,1.79,Industrial
419.67,106.58,0.63,147.3,10.27,64.5,49.2,5.79,Industrial
347.46,94.74,0.57,118.0,18.78,41.7,76.2,4.48,Comercial
449.94,81.17,0.54,118.4,31.91,85.8,65.9,1.96,Residencial
311.33,97.66,0.43,117.4,17.22,72.8,70.4,5.86,Comercial
337.08,61.62,0.77,136.0,28.46,72.7,44.1,6.88,Comercial
344.47,96.67,0.49,100.0,12.77,85.4,48.8,0.96,Industrial
444.89,58.31,0.72,67.3,22.17,25.3,58.6,1.8,Industrial
403.58,106.46,0.27,52.0,12.6,82.5,70.2,1.06,Residencial
121.53,83.99,0.89,37.5,13.09,78.0,50.0,3.34,Residencial
620.96,73.35,0.7,23.2,33.95,70.1,60.3,2.79,Industrial
661.77,50.41,0.56,175.7,17.19,83.9,44.6,6.91,Residencial
330.25,81.54,0.3,145.7,21.24,14.5,64.6,3.9,Residencial
536.78,91.96,0.73,61.2,18.37,84.5,45.4,2.79,Industrial
497.82,44.18,0.37,67.4,36.09,13.1,18.7,3.03,Comercial
360.11,84.32,0.63,170.2,27.25,21.1,22.9,1.81,Residencial
391.17,95.17,0.76,184.0,22.55,48.4,59.3,6.3,Residencial
569.68,72.29,0.38,51.6,14.29,29.1,31.0,5.93,Industrial
194.74,93.46,0.28,118.0,30.01,72.7,77.8,3.58,Industrial
534.25,94.77,0.74,111.2,34.59,81.5,68.8,6.68,Industrial
594.56,88.97,0.23,107.3,11.51,17.8,15.8,4.5,Industrial
330.39,76.04,0.9,140.4,20.65,50.9,34.4,3.87,Industrial
626.03,72.27,0.39,185.3,17.74,23.6,53.5,6.54,Comercial
531.07,72.59,0.87,106.9,10.29,26.7,50.9,3.19,Industrial
573.42,83.64,0.79,66.7,25.45,69.8,51.7,6.17,Comercial
406.79,86.66,0.6,28.0,14.05,25.3,46.6,1.3,Comercial
275.06,71.87,0.84,127.3,26.18,45.1,61.9,6.81,Comercial
367.3,95.21,0.66,143.2,13.61,53.5,72.6,0.79,Comercial
103.55,42.98,0.76,195.8,37.42,86.3,26.5,6.63,Comercial
303.74,51.91,0.81,56.5,17.3,25.8,28.9,5.71,Comercial
512.93,75.67,0.75,29.2,12.7,36.2,79.9,5.05,Industrial
300.59,68.87,0.31,47.2,13.88,24.0,41.4,0.7,Industrial
473.11,100.05,0.83,183.1,11.79,41.4,19.7,1.74,Industrial
703.55,19.45,0.45,29.2,28.46,56.6,27.1,1.7,Industrial
344.62,77.94,0.84,116.3,36.8,56.6,37.1,3.76,Comercial
466.36,84.59,0.56,80.2,30.63,26.8,21.0,2.3,Comercial
203.86,109.43,0.72,72.4,34.37,10.8,79.3,6.24,Industrial
551.4,89.28,0.6,176.7,18.67,13.7,65.2,2.23,Industrial
550.78,95.11,0.4,114.9,33.31,59.2,24.6,4.44,Residencial
328.23,89.49,0.84,61.3,27.03,10.9,38.2,2.28,Industrial
284.94,101.5,0.59,92.8,20.3,42.9,45.8,4.46,Industrial
358.37,130.69,0.4,149.1,29.23,62.3,20.4,0.26,Residencial
244.87,116.37,0.74,55.4,20.79,57.3,56.6,5.93,Comercial
496.13,132.14,0.94,56.5,35.48,53.3,78.8,4.96,Industrial
567.13,96.37,0.85,93.5,10.37,20.1,54.1,5.96,Comercial
436.52,82.43,0.72,35.8,18.3,77.6,16.2,5.43,Comercial
