Consumo_kWh,CostoEnergia_USD,TempPromedio_C,HorasPico,PotenciaMax_kW,EmisionesCO2_tn,SectorIndustrial,MantenimientoPrev,EdadEquipo_anios,AhorroPotencial_USD
269.72,293.74,19.98,3.1,72.95,5.92,0,1,7.52,462.34
519.68,271.68,19.34,8.02,120.02,4.77,1,1,15.89,387.51
433.96,438.8,41.97,9.75,76.11,3.88,1,0,3.61,554.2
219.24,465.79,18.0,9.48,109.19,1.55,0,0,23.55,569.78
330.57,300.82,27.95,5.5,108.54,0.78,0,0,9.01,443.38
598.17,206.88,43.6,2.67,48.74,2.82,0,0,15.14,608.13
108.8,493.22,44.73,1.69,110.43,5.13,0,1,19.73,400.29
348.53,520.94,27.69,5.0,30.37,4.5,0,1,18.73,630.52
551.91,360.81,23.06,1.2,96.38,3.21,0,0,12.18,671.92
295.99,209.78,25.65,9.05,70.47,3.94,1,0,2.0,181.68
318.53,487.63,17.71,6.78,92.77,5.25,0,1,14.78,623.48
388.63,265.14,44.81,7.58,119.76,1.39,0,0,11.98,568.47
578.97,557.72,21.11,3.68,104.04,1.38,0,1,4.78,864.29
323.33,218.69,15.65,6.92,104.28,5.75,0,0,11.26,391.24
346.72,568.94,14.17,1.91,114.59,3.49,1,0,10.32,573.72
347.88,302.52,40.52,3.4,77.99,5.91,1,1,2.31,434.59
664.71,471.7,18.81,8.64,103.45,4.16,1,0,20.44,629.42
662.41,188.62,21.25,4.35,93.38,5.84,1,0,20.81,646.31
520.49,404.9,20.66,2.69,78.07,0.87,1,0,22.4,838.74
446.34,382.74,36.25,3.02,98.06,1.31,1,1,19.06,445.97
488.48,298.56,40.63,6.83,70.99,3.32,1,0,22.81,494.5
578.89,462.42,19.12,6.26,104.71,3.48,1,0,19.82,706.77
287.7,505.35,14.99,1.95,56.17,3.74,0,1,3.24,728.86
541.1,458.18,35.05,8.81,124.19,5.96,0,0,23.91,761.22
249.53,502.81,26.42,9.13,80.93,3.55,0,1,14.65,685.39
323.47,467.5,13.19,2.25,101.36,5.34,1,0,9.52,556.59
508.85,157.82,24.63,4.13,79.05,5.9,1,1,13.91,526.29
228.56,481.65,12.31,7.47,70.93,5.72,1,1,3.44,565.13
383.19,179.16,44.37,5.01,87.64,0.71,1,1,5.99,396.01
296.59,131.6,41.8,4.22,128.86,1.32,0,1,17.92,260.01
369.33,548.86,43.34,9.55,90.76,0.65,0,1,9.5,601.17
64.17,391.08,39.94,3.87,69.06,4.02,1,1,1.11,235.1
187.42,171.77,10.59,8.28,45.67,3.1,0,1,7.58,353.0
316.01,410.83,14.38,4.27,91.59,1.61,1,0,9.84,435.89
511.3,253.08,33.55,5.59,92.9,0.42,0,0,15.11,397.15
379.16,153.6,14.96,9.64,69.09,3.16,1,1,11.99,410.68
400.34,495.73,25.93,6.74,104.45,3.83,0,1,15.29,618.88
482.59,137.19,17.12,3.99,95.03,5.05,1,0,15.39,168.56
294.46,580.48,15.3,3.45,91.72,5.64,0,0,21.76,750.76
434.04,481.41,13.71,5.45,97.98,4.14,0,1,8.02,552.31
303.36,450.36,39.39,6.56,59.82,2.68,0,1,1.96,492.53
192.68,204.36,39.33,6.18,95.97,1.26,0,1,21.36,371.5
353.09,474.99,27.12,2.15,89.21,4.36,0,0,21.83,497.22
468.86,91.73,31.49,4.77,117.86,1.93,0,1,5.34,309.19
440.63,368.01,18.08,7.06,75.47,1.64,1,0,1.83,456.63
398.58,241.58,42.09,6.71,106.33,2.42,0,1,10.17,635.87
687.08,512.79,30.06,4.21,89.68,4.99,1,0,17.8,829.41
449.55,475.89,32.34,5.94,113.93,3.59,0,0,11.98,769.27
517.45,333.68,25.69,2.36,152.01,4.01,0,0,3.56,686.81
668.58,325.63,33.58,2.03,97.71,2.07,1,0,22.01,898.63
244.71,118.04,32.64,2.8,75.8,0.71,1,1,1.14,87.46
