solar_irradiance_wm2,wind_speed_ms,ambient_temp_c,humidity_pct,panel_temp_c,inverter_efficiency,load_demand_kw,grid_voltage_kv,battery_soc_pct,tariff_rate_usd_kwh,grid_stress_event
471.96,5.54,24.85,38.8,36.31,0.99,193.37,12.92,82.43,0.15,0
583.8,10.26,32.62,58.92,45.66,0.98,396.69,12.2,90.71,0.13,1
881.83,5.03,36.1,60.88,57.36,0.97,559.87,13.34,58.89,0.15,1
684.92,4.77,16.11,52.5,35.34,0.99,361.05,13.22,45.72,0.12,1
815.64,4.98,23.04,73.21,41.94,0.98,366.03,13.18,87.73,0.16,0
753.88,6.4,24.94,55.59,45.54,0.98,438.45,14.27,71.47,0.18,0
535.44,7.18,26.3,59.59,39.74,0.98,459.91,12.34,38.84,0.18,1
747.55,5.62,29.36,42.59,47.86,0.95,658.93,14.12,38.81,0.15,1
593.01,7.81,19.17,45.39,34.26,0.99,318.58,14.21,82.82,0.09,0
591.97,7.7,25.77,55.16,39.19,0.98,410.36,11.62,46.87,0.1,1
667.49,10.42,18.18,42.74,36.09,0.99,506.21,12.82,27.66,0.14,1
375.33,4.77,36.7,83.03,46.89,0.98,464.4,13.75,85.59,0.14,0
864.59,8.79,13.24,44.43,36.62,0.99,283.99,13.0,71.99,0.14,0
529.2,6.46,11.23,53.41,24.36,0.99,273.29,11.89,85.95,0.18,1
830.05,8.58,15.92,66.9,38.1,0.99,414.44,12.99,69.84,0.17,0
674.54,8.08,20.92,57.94,37.99,0.98,540.03,13.77,31.21,0.09,1
925.77,1.52,24.86,67.98,48.9,0.98,157.14,14.2,54.63,0.18,0
531.21,7.74,27.01,57.4,37.77,0.98,583.55,12.96,67.03,0.11,1
593.88,3.28,24.24,57.9,38.73,0.99,504.11,14.24,42.73,0.16,0
710.8,8.27,26.45,42.85,44.07,0.98,359.43,13.89,32.85,0.16,0
252.66,7.61,26.09,73.17,32.84,0.98,568.85,12.63,48.32,0.17,1
799.03,6.3,12.2,75.32,32.67,0.96,639.69,13.65,72.98,0.16,1
927.49,8.44,16.99,57.68,41.48,0.98,332.29,13.7,64.88,0.1,0
852.83,7.97,24.95,79.05,47.5,0.98,362.76,12.99,62.89,0.19,0
785.86,9.79,19.13,64.19,39.15,0.99,279.21,13.02,22.67,0.18,0
623.72,3.52,21.36,68.31,35.1,0.98,523.44,13.49,23.62,0.1,1
880.74,8.71,23.72,45.19,45.18,0.98,365.95,13.74,10.57,0.1,0
843.33,5.14,28.54,27.71,48.12,0.98,342.36,12.97,65.1,0.13,0
720.67,6.75,30.23,71.47,46.83,0.98,292.0,13.81,94.47,0.16,0
650.92,5.99,29.75,99.14,44.94,0.96,620.16,14.01,54.83,0.15,1
584.88,6.45,23.05,51.12,39.59,0.99,369.75,12.59,55.44,0.16,1
428.56,7.78,41.18,61.04,50.75,0.98,392.45,13.51,23.0,0.11,1
870.72,6.22,25.96,70.15,47.24,0.98,419.46,13.11,58.48,0.08,1
259.03,3.29,23.58,79.19,30.0,0.99,468.5,12.71,51.14,0.16,1
583.37,11.87,21.43,61.63,37.71,0.97,565.74,13.69,86.62,0.13,0
679.59,7.03,28.72,70.69,44.34,0.98,501.16,12.21,48.46,0.12,1
804.78,6.13,29.32,50.52,50.68,0.97,366.98,13.11,63.26,0.16,0
967.1,9.2,24.69,55.46,49.01,0.98,373.5,14.96,42.11,0.1,0
828.8,5.93,22.06,75.92,40.53,0.98,427.57,12.71,86.85,0.15,1
597.53,5.32,20.92,63.92,36.71,0.99,462.79,13.37,81.04,0.21,0
781.06,11.12,29.65,27.16,49.95,0.97,535.58,12.11,58.33,0.16,1
422.91,5.98,36.64,59.96,46.83,0.98,311.78,12.68,38.65,0.11,1
907.39,10.92,20.27,87.81,46.1,0.98,354.44,13.69,67.96,0.16,0
621.83,12.31,16.49,58.81,31.3,0.99,220.22,13.53,62.08,0.15,0
528.72,3.54,18.94,65.91,32.7,0.98,405.79,12.68,84.84,0.11,0
534.97,2.85,29.1,28.03,41.97,0.98,263.64,12.32,17.57,0.14,1
638.95,6.53,19.44,54.68,35.56,0.99,477.43,14.06,36.64,0.14,0
579.3,9.47,25.29,61.7,41.12,0.98,236.93,13.46,66.42,0.14,0
1062.18,4.91,31.77,62.0,56.61,0.98,357.96,13.06,80.29,0.16,0
520.73,5.31,18.38,52.91,32.47,0.99,482.69,13.08,69.2,0.07,1
655.87,3.13,23.42,54.91,38.63,0.98,375.21,12.58,70.45,0.12,1
655.05,9.88,23.69,37.13,41.2,0.98,467.38,12.22,57.07,0.15,1
655.09,4.62,27.18,44.71,43.37,0.98,445.57,13.76,75.21,0.12,0
659.96,4.27,28.26,54.09,43.95,0.98,410.36,13.64,88.09,0.13,0
563.32,8.96,13.8,67.52,29.1,0.99,326.02,13.14,73.83,0.11,0
544.99,8.44,28.93,59.69,41.46,0.98,467.26,12.31,65.14,0.12,1
494.81,6.96,20.87,70.5,34.73,0.99,291.8,12.9,24.31,0.15,1
382.13,4.04,16.11,77.14,25.94,0.98,562.12,13.12,35.94,0.14,1
688.94,5.81,24.29,52.47,43.46,0.98,306.12,13.2,37.5,0.13,0
827.19,5.03,24.5,52.31,45.48,0.98,394.65,13.65,26.41,0.14,0
552.24,5.96,30.05,82.47,46.04,0.98,433.36,13.24,43.54,0.17,1
549.45,9.48,19.37,45.17,31.09,0.99,440.38,14.64,81.99,0.08,0
593.03,7.81,31.14,40.58,48.42,0.98,367.79,13.25,62.35,0.18,0
567.08,3.47,26.99,48.74,42.37,0.99,460.36,12.99,40.28,0.16,1
391.47,2.96,20.99,37.5,32.18,0.99,460.64,13.24,71.76,0.12,1
895.72,7.44,25.44,39.56,46.65,0.98,211.28,12.51,88.62,0.11,0
729.02,7.98,27.78,42.62,48.46,0.98,388.45,13.54,44.52,0.13,0
521.89,4.88,29.03,53.28,41.92,0.99,364.48,13.36,100.0,0.14,0
703.49,4.09,24.33,68.39,41.38,0.97,559.54,13.36,55.28,0.11,1
571.08,2.43,24.7,57.62,36.83,0.98,565.16,13.5,77.12,0.14,1
611.91,8.5,30.78,47.95,45.97,0.98,472.66,12.68,92.85,0.14,1
715.51,7.91,26.7,88.55,46.49,0.98,523.12,13.34,64.5,0.14,1
821.53,7.75,18.59,54.43,40.58,0.98,514.63,13.15,61.59,0.08,1
923.51,8.02,18.0,66.78,41.93,0.97,581.65,12.82,64.66,0.16,1
956.7,5.36,26.64,67.1,49.79,0.98,519.17,12.99,54.97,0.11,1
605.21,6.83,26.52,55.36,39.64,0.97,561.21,12.78,52.93,0.08,1
560.05,5.22,21.94,66.87,36.97,0.98,305.76,14.08,32.1,0.14,0
667.93,5.34,26.95,63.26,42.06,0.97,524.26,13.85,17.52,0.17,1
673.1,1.14,27.51,53.11,43.26,0.98,316.15,13.09,35.08,0.1,0
517.84,6.31,17.85,51.23,30.85,0.98,536.97,12.31,60.29,0.16,1
