id,texto,tema,cluster
1,En el centro de salud no hay dosis pediátricas disponibles.,vacunas,3
2,¿Es seguro tomar suplementos de omega 3 todos los días?,nutricion,3
3,"Dermatitis por contacto con detergentes, ¿alguna crema?",dermato,3
4,¿La homeopatía tiene evidencia para alergias? en Buenos Aires,alternativas_y_suplementos,0
5,¿Signos de alarma de infarto en mujeres? en Cali,onco_cardiomet,0
6,Necesito un plan de alimentación para hipertensión. últimamente,nutricion,3
7,Visión borrosa al final del día frente al computador. en Bogotá para adulto mayor,oftalmo,3
8,"Tengo tos seca y fiebre bastante baja, podría ser influenza.",respiratorio_infeccioso,3
9,Seguimiento de nódulo tiroideo benigno. para adolescente,onco_cardiomet,3
10,"Uso banda elástica para hombro, progreso lento. en CDMX",rehabilitacion,10
11,Busco pediatra cerca que atienda sábado en la mañana.,pediatria,9
12,Estoy probando una app para registrar glucosa.,tecnologia_salud,1
13,Busco rutina de ejercicio para personas con asma leve.,actividad_fisica,3
14,Chequeo por antecedentes familiares de cáncer de mama.,onco_cardiomet,11
15,Me puse la vacuna de influenza y solo tuve dolor bastante en el brazo. si alguien sabe,vacunas,0
16,"Tengo dolor severo de rodilla al correr, ¿debo parar o estirar más?",actividad_fisica,3
17,Estoy reduciendo azúcar para controlar la glucemia.,nutricion,3
18,Busco ortodoncista que ofrezca alineadores transparentes. gracias,odontologia,3
19,Noté mareo después de iniciar un antihistamínico. si alguien sabe para adulto joven,farmacos,3
20,Dudas sobre aislamientos por influenza en oficinas. me ayudan para embarazada,salud_publica,3
21,"Uso banda elástica para hombro, progreso lento. para adulto joven",rehabilitacion,10
22,Rehabilitación post-COVID: fatiga moderado y disnea. hace 3 días gracias para adulto mayor,rehabilitacion,3
23,Noté mareo después de iniciar un antihistamínico.,farmacos,3
24,Tengo dudas sobre efectos secundarios de la vacuna del tétanos. en Buenos Aires,vacunas,0
25,Siesta corta mejora mi productividad.,sueno,3
26,¿Cómo funcionan los tamizajes de cáncer de colon? este mes para embarazada,salud_publica,6
27,Busco ortodoncista que ofrezca alineadores transparentes. en CDMX,odontologia,3
28,Quiero ideas de desayunos ricos en proteína y fibra. en Cali,nutricion,5
29,¿La cúrcuma realmente ayuda con la inflamación? desde la semana pasada en Medellín,alternativas_y_suplementos,3
30,¿La dieta mediterránea sirve para bajar el colesterol?,nutricion,0
31,"Me despierto a las 3am, ¿higiene del sueño? me ayudan",sueno,3
32,"Me recordaron la cita por WhatsApp, muy útil. desde la semana pasada agradezco sugerencias",telemedicina,3
33,"Co-pagos altos en urgencias, ¿es legal? este mes",admon_salud,3
34,¿El minoxidil ayuda en caída del cabello difusa? en Bogotá si alguien sabe,dermato,3
35,Aumentaron los casos de dengue en mi barrio. últimamente,salud_publica,3
36,Quiero ideas de desayunos ricos en proteína y fibra. últimamente en Buenos Aires,nutricion,5
37,"Sensibilidad dental tras blanqueamiento, ¿qué usar? este mes",odontologia,0
38,Estoy probando una app para registrar glucosa. en Medellín gracias,tecnologia_salud,1
39,Busco un psicólogo que atienda por telemedicina. en Bogotá si alguien sabe,salud_mental,3
40,Faltan donantes en el banco de sangre local.,salud_publica,3
41,"Tengo dolor leve de rodilla al correr, ¿debo parar o estirar más? por favor",actividad_fisica,3
42,¿Se puede enviar la fórmula por correo electrónico? me ayudan para adulto mayor,telemedicina,3
43,Control de colesterol LDL elevado pese a dieta. desde ayer gracias,onco_cardiomet,0
44,¿Interacciones entre sertralina y suplementos herbales? por favor,farmacos,3
45,Busco rutina nocturna para dormir mejor. desde ayer en Bogotá,sueno,3
46,Dolor lumbar crónico: ejercicios de core recomendados. últimamente,rehabilitacion,3
47,Busco un psicólogo que atienda por telemedicina. para embarazada,salud_mental,3
48,¿Lentes con filtro azul realmente ayudan? en Buenos Aires,oftalmo,0
49,"Me despierto a las 3am, ¿higiene del sueño? hace 3 días",sueno,3
50,La consulta virtual fue puntual y resolvió mis dudas. por favor,telemedicina,3
51,Chequeo por antecedentes familiares de cáncer de mama. en Medellín,onco_cardiomet,11
52,Empecé a caminar 10k pasos diarios y mejoró mi presión. en Cali gracias,actividad_fisica,3
53,¿El HIIT ayuda a la resistencia cardiovascular? para embarazada,actividad_fisica,4
54,Busco alternativas a los opioides para dolor un poco crónico. en CDMX,farmacos,3
55,Noté mareo después de iniciar un antihistamínico. para embarazada,farmacos,3
56,¿Los datos del wearable son aceptados por el médico? para niña de 6 años,tecnologia_salud,3
57,¿Protector solar mineral o químico para piel sensible? en CDMX por favor para adulto mayor,dermato,3
58,¿La melatonina crea dependencia? últimamente me ayudan,sueno,3
59,"Me recordaron la cita por WhatsApp, muy útil.",telemedicina,3
60,Me puse la vacuna de influenza y solo tuve dolor mucho en el brazo. hace 3 días,vacunas,0
61,Mi abuela tiene diabetes tipo 2 y necesita control de HbA1c. desde la semana pasada,cronicas,3
62,¿El minoxidil ayuda en caída del cabello difusa?,dermato,3
63,"Me preocupa el burnout en el hospital, ¿consejos? en Bogotá",salud_mental,3
64,¿Puedo tomar ibuprofeno si ya tomo enalapril? desde ayer en Cali para adolescente,farmacos,3
