edad,ingreso_mensual,antiguedad_laboral_anios,score_crediticio,deuda_total,ratio_endeudamiento,numero_creditos_activos,retrasos_12m,limite_credito_solicitado,ahorros,aprobado
27,4961.97,17.09,525,4810.73,0.22,3,4,13944.27,5829.6,0
27,5120.14,18.45,720,2351.39,0.73,4,3,12074.02,10672.21,1
60,4517.71,18.2,843,0.0,0.47,6,0,6049.38,0.0,1
45,3117.94,9.41,542,9031.52,0.08,5,0,10027.23,11823.77,1
49,5262.63,12.25,510,5639.81,0.27,1,0,10726.52,10349.66,1
50,3558.62,14.96,470,9992.67,0.84,6,3,7755.35,0.0,0
55,4733.75,18.66,667,5482.5,0.3,0,2,7563.03,5685.96,1
22,2801.62,30.66,466,7339.7,0.17,6,1,5347.53,5589.5,1
44,4905.54,16.96,819,3322.92,0.1,2,4,8442.51,8043.12,1
28,3510.75,19.55,483,7542.76,0.51,0,1,8323.9,14748.12,0
40,5191.4,24.74,349,4249.2,0.54,1,4,7052.72,7710.88,0
66,5804.8,27.98,746,7495.75,0.3,0,0,9335.93,6968.48,1
47,5269.6,34.05,748,6225.83,0.75,2,1,5337.64,9488.08,1
24,3165.53,25.86,519,2030.92,0.57,2,1,13104.73,8992.57,0
47,3366.76,20.96,698,5618.67,0.17,7,4,5863.22,5830.12,1
27,3432.65,25.1,425,6085.62,0.68,3,0,8847.93,6495.43,0
57,4812.39,4.28,496,3304.46,0.41,5,4,8043.43,8624.96,0
67,4526.89,25.87,762,5186.22,0.32,1,3,13758.63,10284.27,1
68,4358.3,7.67,445,8533.24,0.38,0,1,11229.15,1409.11,0
51,4493.95,30.81,386,9512.74,0.62,6,1,11925.23,5650.51,0
63,4737.12,30.53,339,5760.55,0.78,2,0,7297.97,7075.57,0
39,4801.38,21.99,816,0.0,0.86,4,0,12534.16,13254.94,1
28,5735.61,32.83,553,7965.51,0.54,3,4,5438.24,8129.39,1
46,4164.04,1.79,520,11455.52,0.7,0,4,4774.69,7747.82,0
42,4397.28,2.66,770,4812.82,0.33,2,3,10356.93,10297.72,1
53,2543.2,17.35,735,2809.25,0.77,4,2,11215.62,11994.71,0
69,3021.59,6.94,607,6534.13,0.3,1,0,6765.89,14576.42,1
34,3588.35,0.78,582,6240.85,0.17,7,1,11549.69,6209.24,1
62,3144.18,33.59,674,8393.79,0.2,3,4,12989.6,7138.39,1
27,4409.84,14.66,684,3551.84,0.84,1,4,7669.46,12436.15,0
38,5147.66,29.4,593,11167.51,0.45,5,0,7286.3,6090.07,1
59,3817.83,9.99,662,8501.98,0.18,0,1,10111.21,9758.79,1
33,3772.11,22.12,622,2319.82,0.13,5,0,8570.37,8655.71,1
53,3747.79,2.42,620,8895.14,0.31,0,1,7740.28,10230.75,1
43,4325.46,21.67,442,5160.96,0.61,1,3,13054.22,7913.7,0
46,3716.66,24.72,813,7796.52,0.35,4,2,7733.44,5552.92,1
67,4590.55,21.6,650,6743.46,0.84,3,4,9519.01,5896.89,0
61,4476.8,16.83,606,5746.8,0.51,4,3,9700.01,4896.35,0
62,4515.33,25.85,603,6589.11,0.58,3,2,9842.12,6097.61,1
47,4892.47,7.89,601,4221.72,0.65,5,1,8601.03,8112.9,1
69,4232.48,23.62,600,3217.25,0.32,1,1,6149.2,2301.21,1
69,4333.04,10.04,726,4821.44,0.8,7,2,8525.05,1974.2,0
27,5786.7,2.28,730,4664.8,0.84,7,0,7511.24,10841.18,1
31,4161.44,13.11,554,6830.69,0.71,4,1,8755.0,9090.6,0
36,4920.32,26.34,834,6178.5,0.1,7,0,10468.48,6586.01,1
48,4250.13,5.8,503,381.92,0.77,1,1,9918.99,7182.44,1
61,3788.53,27.13,779,8253.68,0.3,1,2,13169.62,12140.49,1
44,3788.87,12.51,656,5433.74,0.21,3,2,10480.45,5048.6,1
69,3461.64,17.22,594,8320.06,0.2,5,1,12121.06,9872.53,1
38,4210.22,2.43,541,7756.47,0.21,2,1,10474.35,8822.98,1
66,3655.68,5.86,625,6448.16,0.64,6,1,7100.59,0.0,0
49,3818.36,23.31,402,7391.29,0.44,3,3,8559.23,6500.5,0
56,5296.52,31.99,845,986.89,0.13,7,1,7889.74,8490.68,1
32,4078.79,9.34,620,10546.2,0.29,0,4,11186.52,5905.59,0
50,5225.05,24.09,649,11782.46,0.7,1,3,6108.65,7370.94,0
60,4437.76,30.79,492,7621.78,0.31,2,4,9393.63,7670.07,0
64,4974.42,29.61,356,3937.99,0.37,7,1,10225.36,5988.15,1
63,3648.71,33.3,581,7815.58,0.34,7,4,11412.15,2845.29,0
68,4330.81,3.78,711,4510.26,0.81,7,4,8114.61,11659.79,0
27,6570.09,23.4,760,10806.39,0.29,4,1,11615.21,5675.01,1
59,4942.45,10.2,780,4191.43,0.38,6,1,11959.47,9462.53,1
43,5100.52,1.49,833,1882.55,0.85,7,2,7168.65,6284.32,1
54,4407.06,17.47,444,2956.26,0.47,5,4,12723.51,4762.85,0
34,4968.49,33.51,847,3226.42,0.67,3,2,10695.65,13844.57,1
21,3150.41,12.08,364,7908.68,0.23,4,1,8747.56,4487.86,0
25,3430.09,9.16,348,5458.74,0.48,7,4,8945.99,8704.88,0
68,4581.57,34.68,358,6492.24,0.31,2,2,12213.6,11326.62,1
64,4933.36,23.51,800,4519.31,0.68,1,3,10714.35,10051.81,1
35,3825.82,5.5,441,9822.26,0.66,1,1,9261.17,8098.08,0
42,4025.7,0.72,832,5659.48,0.61,3,3,12446.12,4230.15,0
32,3868.4,2.88,651,6319.46,0.23,0,1,6235.69,13947.66,1
28,4024.45,2.88,531,10649.46,0.66,5,1,8910.43,8284.3,0
63,3112.48,31.03,427,6573.7,0.14,0,4,9354.15,5574.77,0
53,2902.73,24.6,508,3950.25,0.74,1,3,9668.85,6188.73,0
24,4118.0,6.36,832,4838.71,0.43,4,2,7837.12,7021.13,1
30,2626.99,15.17,554,9262.25,0.2,1,4,11391.44,6854.87,0
48,3309.53,15.72,474,6841.5,0.44,7,3,7938.22,3043.78,0
65,3595.29,30.23,355,3150.84,0.51,2,1,10991.02,2627.35,0
69,3241.09,34.07,736,9373.03,0.89,2,0,11032.73,11740.51,1
31,4402.13,0.3,676,964.08,0.41,5,3,5744.38,8736.91,1
50,3785.29,0.94,401,0.0,0.85,7,3,8917.36,9177.54,0
22,4112.93,21.46,433,2486.14,0.94,1,0,5498.96,3153.9,0
29,3275.41,1.91,514,0.0,0.49,4,4,14032.7,3324.71,0
30,3515.67,14.51,413,4990.34,0.86,2,2,4130.62,7120.33,0
42,4643.62,22.32,523,5726.89,0.31,2,3,9739.74,10592.28,1
37,4508.35,18.07,554,4761.65,0.12,1,2,6000.52,7574.6,1
56,3761.98,6.5,585,3781.41,0.84,3,0,2883.91,8516.17,0
43,4507.13,10.04,757,2243.45,0.28,0,3,7594.85,3578.44,1
37,4347.68,18.89,475,8578.89,0.37,6,0,14659.59,7496.11,1
65,4321.43,5.34,339,0.0,0.61,1,2,9674.54,10157.03,0
51,5612.42,32.54,625,7933.79,0.86,5,2,11133.02,4899.5,1
55,3815.63,8.88,604,6432.68,0.6,0,4,7949.15,6344.87,0
57,4553.1,29.56,729,5384.35,0.45,4,2,12180.65,11063.85,1
37,4554.25,6.86,809,7036.16,0.43,3,1,7621.7,10234.22,0
64,3963.57,17.48,697,629.43,0.63,7,4,11308.4,4292.26,0
21,3125.16,28.69,778,8732.42,0.24,5,1,7882.05,6504.08,1
36,4794.54,23.25,385,7232.4,0.09,7,0,6958.11,7908.57,1
28,4407.58,4.73,380,9162.99,0.78,2,4,8237.79,0.0,0
21,4215.66,9.05,508,0.0,0.76,2,4,13634.98,5285.37,0
69,4190.98,13.41,450,6402.14,0.4,4,0,8735.91,8879.45,1
25,4188.21,17.69,319,5170.17,0.37,3,1,8651.84,12073.89,0
43,3363.39,33.8,319,0.0,0.31,4,1,11678.31,3278.68,0
61,4429.83,12.22,563,4519.89,0.68,3,3,9452.96,6409.95,0
54,2543.08,12.63,729,5760.71,0.61,2,2,4744.15,8553.76,0
62,4141.08,18.81,795,3068.17,0.65,0,4,12637.18,13604.02,1
23,2816.75,7.98,335,6811.58,0.79,0,0,13595.29,4569.94,0
45,3845.36,29.07,603,7391.26,0.32,4,2,9404.38,16468.58,1
22,4804.89,0.01,634,4149.68,0.52,7,1,10898.69,6455.13,1
30,3926.71,26.29,667,4471.17,0.87,5,2,6082.05,6917.78,0
62,3727.35,31.98,760,8042.3,0.68,2,4,9041.49,6152.54,0
24,4620.28,11.59,516,2441.85,0.61,3,1,3935.96,4007.92,0
49,3914.76,26.76,676,7181.09,0.42,0,2,11560.88,8965.18,1
21,3789.17,25.42,660,9830.11,0.65,7,4,7542.44,7369.1,0
36,3801.54,27.25,764,5479.0,0.13,5,2,9733.4,3139.51,1
66,5515.45,23.29,509,6775.74,0.74,1,1,7882.03,12739.23,1
36,4751.89,19.14,634,5662.95,0.95,7,0,6227.56,4126.31,0
36,4586.08,9.93,494,8208.35,0.93,1,1,13042.52,6901.72,0
25,3081.49,14.87,325,768.9,0.23,5,2,10944.89,8744.56,0
58,4709.08,4.04,569,118.77,0.35,3,3,9598.32,10177.56,0
29,2987.43,22.25,396,2836.26,0.81,6,0,9577.86,8509.22,0
45,4581.77,18.01,436,3605.18,0.73,4,2,7587.36,17212.52,0
22,3145.36,2.32,788,8681.34,0.51,4,3,6748.55,4087.64,0
22,5906.04,3.89,770,9957.13,0.67,1,3,10060.75,7815.85,1
62,2632.85,11.48,374,7433.2,0.67,7,3,7014.49,4212.04,0
21,5247.21,6.87,486,9567.86,0.81,6,0,11878.99,10583.86,0
43,4868.06,6.88,493,4269.62,0.68,5,1,6957.43,2784.55,0
41,2549.02,27.09,831,3854.11,0.69,2,1,6712.92,9401.29,1
27,3929.71,11.48,528,644.93,0.63,6,2,6531.02,9511.75,0
52,5445.8,2.27,586,9280.94,0.31,7,2,11012.72,8906.39,1
57,5168.05,32.2,702,7281.07,0.28,1,3,11511.78,7199.69,1
69,2652.92,33.38,809,5433.91,0.92,7,0,10277.4,9861.08,1
30,3677.14,28.93,847,1246.13,0.14,2,1,11069.53,13665.25,1
66,3088.67,15.83,317,2294.03,0.41,5,2,9615.21,6646.28,0
24,3222.45,33.75,725,7114.96,0.68,6,0,6929.01,5659.04,1
27,3566.43,31.78,493,5527.93,0.46,6,0,6719.19,4847.8,1
50,5800.99,22.66,373,9059.01,0.46,5,4,8214.72,16193.55,0
63,4263.62,24.4,419,6144.93,0.71,3,0,7066.08,14209.71,0
64,3940.11,25.26,335,3298.66,0.51,1,4,12283.73,9589.67,0
57,3841.89,19.16,754,1767.26,0.76,2,1,7236.86,7578.37,1
22,4742.35,30.82,565,5527.47,0.35,4,2,10320.5,4653.29,1
41,4764.59,30.24,789,10768.87,0.61,0,3,8556.41,9381.76,1
60,3315.39,26.32,378,11883.51,0.49,5,4,6675.44,5632.26,0
46,5462.88,24.76,353,3183.13,0.19,0,2,10031.51,15657.86,1
30,3167.85,16.29,516,7180.04,0.59,4,1,7125.06,1383.14,0
54,3892.78,11.81,443,3225.06,0.24,0,3,11216.48,6635.55,0
25,4547.44,33.82,640,6374.57,0.63,4,0,7892.19,3170.63,1
55,5681.35,20.27,539,0.0,0.51,5,0,7317.73,11363.18,1
21,3830.28,32.89,573,3508.65,0.9,7,0,12701.88,7762.42,0
38,4399.01,7.78,578,0.0,0.89,3,2,10015.51,0.0,0
35,5313.75,5.8,493,10180.56,0.4,4,3,11259.45,6561.45,0
67,4702.48,25.81,311,4276.75,0.15,5,2,8937.15,12080.57,1
56,5155.88,23.35,524,7004.59,0.71,6,1,9439.09,11069.17,1
53,5075.84,14.55,429,5626.28,0.63,7,0,7919.69,7357.81,0
45,4375.35,18.12,849,1245.74,0.91,7,4,6968.02,7538.92,0
35,4709.12,32.52,348,7508.66,0.26,5,3,12814.08,7984.96,0
62,4966.33,23.82,727,8986.2,0.65,0,2,6771.78,7645.25,1
67,4116.44,19.26,842,6243.48,0.53,1,2,7338.25,3034.04,1
31,5579.76,9.82,367,7293.07,0.92,5,2,11128.42,8771.01,0
32,2354.11,5.93,634,9083.51,0.35,6,1,10688.44,13407.09,0
36,3312.94,13.28,561,7362.72,0.26,4,4,6041.33,4028.04,0
44,5440.81,10.67,639,5150.94,0.5,7,0,5383.56,6529.59,1
33,4525.79,24.73,696,318.7,0.8,3,4,7208.34,6121.08,0
